Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
01-Jan-21,01-01-2021,Confirmed,20159,1,326,0,40,463,51,932,0,0,585,69,734,286,193,256,128,877,4991,59,0,780,3524,18,0,12,2,245,32,248,609,12,921,461,4,1786,361,1153,0
01-Jan-21,01-01-2021,Recovered,23838,4,350,2,82,404,64,1019,0,0,717,78,907,533,412,248,105,1084,5111,9,0,900,4279,64,0,2,14,301,50,408,942,5,1029,617,28,2082,492,1496,0
01-Jan-21,01-01-2021,Deceased,237,0,0,0,4,3,1,4,0,0,21,0,3,6,2,1,0,6,23,0,0,12,59,1,0,0,0,3,0,8,4,1,13,3,0,27,6,26,0
02-Jan-21,02-01-2021,Confirmed,18144,1,238,8,38,397,66,1147,0,0,494,95,741,239,149,244,151,755,5328,25,0,731,3218,37,40,3,0,251,10,242,467,10,910,293,8,682,263,863,0
02-Jan-21,02-01-2021,Recovered,20903,7,279,10,80,490,117,1963,0,0,496,104,922,425,339,260,205,976,4985,10,0,855,2110,40,88,3,5,232,30,315,890,13,1007,535,16,1190,463,1443,0
02-Jan-21,02-01-2021,Deceased,216,0,3,0,2,3,1,11,0,0,14,0,5,4,2,1,4,3,21,0,0,9,51,1,0,0,0,4,0,15,5,1,11,2,0,8,7,28,0
03-Jan-21,03-01-2021,Confirmed,16678,1,232,5,15,282,16,714,1,0,424,65,715,218,67,182,137,810,4600,6,0,724,3282,38,12,4,1,192,50,207,502,9,867,394,6,737,267,896,0
03-Jan-21,03-01-2021,Recovered,19658,9,352,7,60,631,54,1237,3,0,708,83,938,450,433,205,159,743,4668,10,0,947,2064,33,13,18,9,244,38,263,801,33,1002,574,14,1179,244,1432,0
03-Jan-21,03-01-2021,Deceased,215,0,4,0,1,2,1,14,0,0,14,2,4,2,6,1,1,8,25,0,0,14,35,1,0,0,0,3,0,12,5,0,10,3,0,16,5,26,0
04-Jan-21,04-01-2021,Confirmed,16278,0,128,9,36,344,55,1147,0,0,384,40,698,244,122,133,160,600,3021,5,0,621,4875,51,22,0,5,183,29,222,457,1,838,238,1,711,301,597,0
